"site","id","date","WAT20"
"MUDS2","103",2011-06-22,0
"MUDS2","103",2011-06-23,0
"MUDS2","103",2011-06-24,0
"MUDS2","103",2011-06-25,0.005
"MUDS2","103",2011-06-26,0.583
"MUDS2","103",2011-06-27,0.518
"MUDS2","103",2011-06-28,0.523
"MUDS2","103",2011-06-29,0.527
"MUDS2","103",2011-06-30,0.532
"MUDS2","103",2011-07-01,0.536
"MUDS2","103",2011-07-02,0.29
"MUDS2","103",2011-07-03,0.42
"MUDS2","103",2011-07-04,0.249
"MUDS2","103",2011-07-05,0.34
"MUDS2","103",2011-07-06,0.155
"MUDS2","103",2011-07-07,0.155
"MUDS2","103",2011-07-08,0.004
"MUDS2","103",2011-07-09,0
"MUDS2","103",2011-07-10,0
"MUDS2","103",2011-07-11,0
"MUDS2","103",2011-07-12,0
"MUDS2","103",2011-07-13,0
"MUDS2","103",2011-07-14,0
"MUDS2","103",2011-07-15,0
"MUDS2","103",2011-07-16,0
"MUDS2","103",2011-07-17,0
"MUDS2","103",2011-07-18,0
"MUDS2","103",2011-07-19,0
"MUDS2","103",2011-07-20,0
"MUDS2","103",2011-07-21,0
"MUDS2","103",2011-07-22,0
"MUDS2","103",2011-07-23,0
"MUDS2","103",2011-07-24,0
"MUDS2","103",2011-07-25,0
"MUDS2","103",2011-07-26,0
"MUDS2","103",2011-07-27,0
"MUDS2","103",2011-07-28,0
"MUDS2","103",2011-07-29,0
"MUDS2","103",2011-07-30,0
"MUDS2","103",2011-07-31,0
"MUDS2","103",2011-08-01,0
"MUDS2","103",2011-08-02,0
"MUDS2","103",2011-08-03,0
"MUDS2","103",2011-08-04,0
"MUDS2","103",2011-08-05,0
"MUDS2","103",2011-08-06,0
"MUDS2","103",2011-08-07,0
"MUDS2","103",2011-08-08,0
"MUDS2","103",2011-08-09,0
"MUDS2","103",2011-08-10,0
"MUDS2","103",2011-08-11,0
"MUDS2","103",2011-08-12,0
"MUDS2","103",2011-08-13,0
"MUDS2","103",2011-08-14,0
"MUDS2","103",2011-08-15,0
"MUDS2","103",2011-08-16,0
"MUDS2","103",2011-08-17,0
"MUDS2","103",2011-08-18,0
